Airline,Domestic,International,Month,Year
AER LINGUS,0,524454,1,2017
UNITED,22790801,7996424,3,2017
DELTA,23863979,5543071,3,2017
JETBLUE AIRWAYS,13491645,3581315,3,2017
AMERICAN,13235202,2609352,3,2017
SOUTHWEST AIRLINES,4116253,0,3,2017
US AIRWAYS,2070182,6715,3,2017
VIRGIN AMERICA,1918124,0,3,2017
AIR CANADA,0,1794629,3,2017
BRITISH AIRWAYS,0,1677408,3,2017
SPIRIT AIRLINES,1573929,0,3,2017
LUFTHANSA,0,1116639,3,2017
EMIRATES AIRLINES,0,1090141,3,2017
AIR FRANCE,0,974763,3,2017
VIRGIN ATLANTIC,0,958862,3,2017
CATHAY PACIFIC,0,810061,3,2017
EL AL,0,616174,3,2017
ALITALIA,0,574644,3,2017
AER LINGUS,0,547194,3,2017
AEROMEXICO,0,542309,3,2017
SAS,0,532239,3,2017
UNITED,21222093,7737554,1,2016
DELTA,22310426,5370217,1,2016
JETBLUE AIRWAYS,13051177,3405715,1,2016
AMERICAN,10139009,2676742,1,2016
US AIRWAYS,5146310,0,1,2016
SOUTHWEST AIRLINES,4020749,0,1,2016
SPIRIT AIRLINES,2335695,0,1,2016
VIRGIN AMERICA,1774881,0,1,2016
BRITISH AIRWAYS,0,1666203,1,2016
AIR CANADA,0,1583288,1,2016
LUFTHANSA,0,1080939,1,2016
EMIRATES AIRLINES,0,1055220,1,2016
VIRGIN ATLANTIC,0,971038,1,2016
AIR FRANCE,0,969617,1,2016
CATHAY PACIFIC,0,844677,1,2016
EL AL,0,595149,1,2016
CARIBBEAN AIR,0,593023,1,2016
ALITALIA,0,572870,1,2016
AEROMEXICO,0,536056,1,2016
TURKISH AIR,0,519671,1,2016
UNITED,21337068,7826626,2,2016
DELTA,22422951,5410161,2,2016
JETBLUE AIRWAYS,13162090,3454526,2,2016
AMERICAN,10185859,2659139,2,2016
US AIRWAYS,5193613,0,2,2016
SOUTHWEST AIRLINES,4069147,0,2,2016
SPIRIT AIRLINES,2342895,0,2,2016
VIRGIN AMERICA,1796796,0,2,2016
BRITISH AIRWAYS,0,1670014,2,2016
AIR CANADA,0,1588054,2,2016
LUFTHANSA,0,1094653,2,2016
EMIRATES AIRLINES,0,1064387,2,2016
VIRGIN ATLANTIC,0,980413,2,2016
AIR FRANCE,0,975019,2,2016
CATHAY PACIFIC,0,839818,2,2016
EL AL,0,595755,2,2016
CARIBBEAN AIR,0,585338,2,2016
ALITALIA,0,575237,2,2016
AEROMEXICO,0,534186,2,2016
TURKISH AIR,0,527214,2,2016
UNITED,21249299,7725844,12,2015
DELTA,22090471,5342709,12,2015
JETBLUE AIRWAYS,13008551,3368024,12,2015
AMERICAN,10156105,2714652,12,2015
