Airline,Domestic,International,Month,Year
AIRTRAN AIRWAYS,1232655,0,1,2012
AIR CANADA,0,1203987,1,2012
LUFTHANSA,0,1201599,1,2012
SPIRIT AIRLINES,1169725,0,1,2012
AIR FRANCE,0,1012045,1,2012
VIRGIN AMERICA,975629,0,1,2012
VIRGIN ATLANTIC,0,896499,1,2012
CATHAY PACIFIC,0,695124,1,2012
FRONTIER AIRLINES,633502,0,1,2012
CARIBBEAN AIR,0,588596,1,2012
EL AL,0,552032,1,2012
EMIRATES AIRLINES & SK,0,497174,1,2012
CONTINENTAL,16073760,7856407,7,2011
DELTA,16266209,4553180,7,2011
AMERICAN,10497658,3779009,7,2011
JETBLUE AIRWAYS,11517480,2035304,7,2011
US AIRWAYS,6016833,0,7,2011
UNITED,3797037,18399,7,2011
BRITISH AIRWAYS,0,1386396,7,2011
AIRTRAN AIRWAYS,1260423,0,7,2011
AIR CANADA,0,1165588,7,2011
LUFTHANSA,0,1154853,7,2011
SPIRIT AIRLINES,1131425,0,7,2011
AIR FRANCE,0,1051859,7,2011
VIRGIN AMERICA,941506,0,7,2011
SOUTHWEST AIRLINES,927241,0,7,2011
VIRGIN ATLANTIC,0,888764,7,2011
CATHAY PACIFIC,0,615320,7,2011
EL AL,0,566635,7,2011
FRONTIER AIRLINES,559437,0,7,2011
ALITALIA,0,489199,7,2011
EMIRATES AIRLINES & SK,0,479224,7,2011
UNITED,20127995,7743052,8,2012
DELTA,17227332,4267633,8,2012
JETBLUE AIRWAYS,12044832,2368178,8,2012
AMERICAN,10497198,3737232,8,2012
US AIRWAYS,5769930,0,8,2012
SOUTHWEST AIRLINES,3023335,0,8,2012
BRITISH AIRWAYS,0,1583091,8,2012
AIR CANADA,0,1259853,8,2012
SPIRIT AIRLINES,1171358,0,8,2012
LUFTHANSA,0,1126933,8,2012
VIRGIN AMERICA,1055117,0,8,2012
AIR FRANCE,0,971927,8,2012
VIRGIN ATLANTIC,0,929826,8,2012
CARIBBEAN AIR,0,705631,8,2012
CATHAY PACIFIC,0,698476,8,2012
EL AL,0,559351,8,2012
EMIRATES AIRLINES & SK,0,527080,8,2012
FRONTIER AIRLINES,511512,0,8,2012
ALITALIA,0,492196,8,2012
SWISS INT'L AIR LINES LT,0,477968,8,2012
UNITED,21449765,7930700,3,2016
DELTA,22575542,5444201,3,2016
JETBLUE AIRWAYS,13245198,3486663,3,2016
AMERICAN,10271492,2633898,3,2016
US AIRWAYS,5222712,0,3,2016
SOUTHWEST AIRLINES,4099232,0,3,2016
SPIRIT AIRLINES,2362867,0,3,2016
VIRGIN AMERICA,1812551,0,3,2016
BRITISH AIRWAYS,0,1669967,3,2016
AIR CANADA,0,1600138,3,2016
LUFTHANSA,0,1102254,3,2016
EMIRATES AIRLINES,0,1067895,3,2016
VIRGIN ATLANTIC,0,992375,3,2016
AIR FRANCE,0,978968,3,2016
CATHAY PACIFIC,0,840552,3,2016
EL AL,0,597951,3,2016
CARIBBEAN AIR,0,576798,3,2016
ALITALIA,0,576386,3,2016
TURKISH AIR,0,536528,3,2016
AEROMEXICO,0,530532,3,2016
UNITED,22094955,8039615,11,2016
DELTA,23569125,5570075,11,2016
JETBLUE AIRWAYS,13447917,3605874,11,2016
AMERICAN,11970666,2557527,11,2016
SOUTHWEST AIRLINES,4126757,0,11,2016
US AIRWAYS,3736463,39284,11,2016
SPIRIT AIRLINES,2479280,0,11,2016
VIRGIN AMERICA,1900778,0,11,2016
AIR CANADA,0,1726267,11,2016
BRITISH AIRWAYS,0,1682401,11,2016
LUFTHANSA,0,1117565,11,2016
EMIRATES AIRLINES,0,1085746,11,2016
AIR FRANCE,0,967006,11,2016
VIRGIN ATLANTIC,0,962355,11,2016
CATHAY PACIFIC,0,822880,11,2016
EL AL,0,611664,11,2016
ALITALIA,0,562122,11,2016
AEROMEXICO,0,546196,11,2016
SAS,0,541273,11,2016
TURKISH AIR,0,538203,11,2016
UNITED,20085016,7732339,9,2012
DELTA,17432358,4291572,9,2012
JETBLUE AIRWAYS,12080392,2379700,9,2012
AMERICAN,10437323,3732570,9,2012
US AIRWAYS,5653367,0,9,2012
SOUTHWEST AIRLINES,3041185,0,9,2012
BRITISH AIRWAYS,0,1582294,9,2012
AIR CANADA,0,1277189,9,2012
SPIRIT AIRLINES,1177522,0,9,2012
LUFTHANSA,0,1114682,9,2012
VIRGIN AMERICA,1064829,0,9,2012
AIR FRANCE,0,957055,9,2012
VIRGIN ATLANTIC,0,931056,9,2012
CARIBBEAN AIR,0,740024,9,2012
CATHAY PACIFIC,0,686806,9,2012
EL AL,0,558306,9,2012
EMIRATES AIRLINES & SK,0,529607,9,2012
ALITALIA,0,506679,9,2012
SWISS INT'L AIR LINES LT,0,486078,9,2012
FRONTIER AIRLINES,472867,0,9,2012
UNITED,20234204,7638078,3,2014
DELTA,19010880,4963426,3,2014
JETBLUE AIRWAYS,11861101,2703087,3,2014
AMERICAN,9925597,3337235,3,2014
US AIRWAYS,4983810,0,3,2014
SOUTHWEST AIRLINES,3210845,0,3,2014
SPIRIT AIRLINES,2288901,0,3,2014
BRITISH AIRWAYS,0,1632394,3,2014
AIR CANADA,0,1368791,3,2014
VIRGIN AMERICA,1346777,0,3,2014
LUFTHANSA,0,1042740,3,2014
VIRGIN ATLANTIC,0,1001546,3,2014
AIR FRANCE,0,934835,3,2014
EMIRATES AIRLINES & SK,0,694049,3,2014
CATHAY PACIFIC,0,657428,3,2014
CARIBBEAN AIR,0,584968,3,2014
EL AL,0,567931,3,2014
SWISS INT'L AIR LINES LT,0,534688,3,2014
ALITALIA,0,518545,3,2014
TURKISH AIR,0,501028,3,2014
CONTINENTAL,15932603,7765309,8,2011
DELTA,16162963,4509343,8,2011
AMERICAN,10505522,3754016,8,2011
JETBLUE AIRWAYS,11430600,2042991,8,2011
US AIRWAYS,5995868,0,8,2011
UNITED,3801372,32657,8,2011
BRITISH AIRWAYS,0,1404786,8,2011
AIRTRAN AIRWAYS,1243046,0,8,2011
AIR CANADA,0,1170748,8,2011
LUFTHANSA,0,1168123,8,2011
SPIRIT AIRLINES,1130703,0,8,2011
AIR FRANCE,0,1041289,8,2011
SOUTHWEST AIRLINES,1026947,0,8,2011
VIRGIN AMERICA,942039,0,8,2011
VIRGIN ATLANTIC,0,887101,8,2011
CATHAY PACIFIC,0,633392,8,2011
FRONTIER AIRLINES,598389,0,8,2011
EL AL,0,555759,8,2011
ALITALIA,0,488500,8,2011
EMIRATES AIRLINES & SK,0,482465,8,2011
UNITED,21516877,7934283,4,2016
DELTA,22663176,5478754,4,2016
